date,time,x,y
2/9/17,01:10.338653+00:00,354194,336884
2/9/17,01:10.372040+00:00,354194,338215
2/9/17,01:10.405426+00:00,356857,339547
2/9/17,01:10.438812+00:00,356857,339547
2/9/17,01:10.472199+00:00,356857,339547
2/9/17,01:10.505585+00:00,358189,339547
2/9/17,01:10.538971+00:00,358189,338215
2/9/17,01:10.572358+00:00,358189,336884
2/9/17,01:10.605744+00:00,358189,336884
2/9/17,01:10.639130+00:00,359520,336884
2/9/17,01:10.672517+00:00,360852,338215
2/9/17,01:10.705903+00:00,363515,339547
2/9/17,01:10.739289+00:00,364846,339547
2/9/17,01:10.772676+00:00,366178,339547
2/9/17,01:10.806062+00:00,366178,340878
2/9/17,01:10.839448+00:00,366178,340878
2/9/17,01:10.872835+00:00,366178,340878
2/9/17,01:10.906221+00:00,366178,340878
2/9/17,01:10.939607+00:00,364846,340878
2/9/17,01:10.972994+00:00,364846,340878
2/9/17,01:11.006380+00:00,364846,339547
2/9/17,01:11.039766+00:00,364846,339547
2/9/17,01:11.073153+00:00,366178,339547
2/9/17,01:11.106539+00:00,366178,339547
2/9/17,01:11.139925+00:00,367509,338215
2/9/17,01:11.173312+00:00,367509,338215
2/9/17,01:11.206698+00:00,367509,339547
2/9/17,01:11.240084+00:00,368841,339547
2/9/17,01:11.273471+00:00,368841,339547
2/9/17,01:11.306857+00:00,370173,339547
2/9/17,01:11.340243+00:00,370173,339547
2/9/17,01:11.373630+00:00,370173,339547
2/9/17,01:11.407016+00:00,370173,339547
2/9/17,01:11.440402+00:00,370173,339547
2/9/17,01:11.473789+00:00,370173,339547
2/9/17,01:11.507175+00:00,370173,340878
2/9/17,01:11.540561+00:00,370173,340878
2/9/17,01:11.573948+00:00,370173,340878
2/9/17,01:11.607334+00:00,370173,339547
2/9/17,01:11.640720+00:00,370173,339547
2/9/17,01:11.674107+00:00,370173,339547
2/9/17,01:11.707493+00:00,368841,339547
2/9/17,01:11.740879+00:00,368841,339547
2/9/17,01:11.774266+00:00,368841,339547
2/9/17,01:11.807652+00:00,367509,340878
2/9/17,01:11.841038+00:00,366178,340878
2/9/17,01:11.874425+00:00,364846,344873
2/9/17,01:11.907811+00:00,364846,348868
2/9/17,01:11.941197+00:00,364846,352862
2/9/17,01:11.974584+00:00,364846,355525
2/9/17,01:12.007970+00:00,364846,356857
2/9/17,01:12.041356+00:00,364846,358189
2/9/17,01:12.074743+00:00,366178,359520
2/9/17,01:12.108129+00:00,367509,360852
2/9/17,01:12.141515+00:00,367509,362183
2/9/17,01:12.174902+00:00,370173,363515
2/9/17,01:12.208288+00:00,375499,366178
2/9/17,01:12.241674+00:00,378162,368841
2/9/17,01:12.275061+00:00,380825,370173
2/9/17,01:12.308447+00:00,383488,371504
2/9/17,01:12.341833+00:00,384820,372836
2/9/17,01:12.375220+00:00,387483,372836
2/9/17,01:12.408606+00:00,388814,374167
2/9/17,01:12.441992+00:00,391478,375499
2/9/17,01:12.475379+00:00,394141,376830
2/9/17,01:12.508765+00:00,394141,376830
2/9/17,01:12.542151+00:00,394141,378162
2/9/17,01:12.575538+00:00,391478,376830
2/9/17,01:12.608924+00:00,391478,376830
2/9/17,01:12.642310+00:00,392809,376830
2/9/17,01:12.675697+00:00,394141,376830
2/9/17,01:12.709083+00:00,395472,378162
2/9/17,01:12.742469+00:00,392809,378162
2/9/17,01:12.775856+00:00,392809,380825
2/9/17,01:12.809242+00:00,391478,380825
2/9/17,01:12.842628+00:00,388814,380825
2/9/17,01:12.876015+00:00,388814,379494
2/9/17,01:12.909401+00:00,388814,379494
2/9/17,01:12.942787+00:00,388814,379494
2/9/17,01:12.976174+00:00,386151,379494
2/9/17,01:13.009560+00:00,383488,376830
2/9/17,01:13.042946+00:00,382157,376830
2/9/17,01:13.076333+00:00,383488,376830
2/9/17,01:13.109719+00:00,383488,376830
2/9/17,01:13.143105+00:00,384820,376830
2/9/17,01:13.176492+00:00,383488,376830
2/9/17,01:13.209878+00:00,382157,376830
2/9/17,01:13.243264+00:00,382157,376830
2/9/17,01:13.276651+00:00,382157,376830
2/9/17,01:13.310037+00:00,383488,376830
2/9/17,01:13.343423+00:00,383488,376830
2/9/17,01:13.376810+00:00,383488,376830
2/9/17,01:13.410196+00:00,383488,375499
2/9/17,01:13.443582+00:00,383488,375499
2/9/17,01:13.476969+00:00,383488,375499
2/9/17,01:13.510355+00:00,383488,376830
2/9/17,01:13.543741+00:00,383488,376830
2/9/17,01:13.577128+00:00,383488,376830
2/9/17,01:13.610514+00:00,383488,376830
2/9/17,01:13.643900+00:00,383488,376830
2/9/17,01:13.677287+00:00,383488,375499
2/9/17,01:13.710673+00:00,383488,375499
2/9/17,01:13.744059+00:00,383488,375499
2/9/17,01:13.777446+00:00,383488,375499
2/9/17,01:13.810832+00:00,383488,375499
2/9/17,01:13.844218+00:00,384820,375499
2/9/17,01:13.877605+00:00,384820,376830
2/9/17,01:13.910991+00:00,386151,376830
2/9/17,01:13.944377+00:00,386151,378162
2/9/17,01:13.977764+00:00,387483,379494
2/9/17,01:14.011150+00:00,388814,380825
2/9/17,01:14.044536+00:00,390146,382157
2/9/17,01:14.077923+00:00,391478,384820
2/9/17,01:14.111309+00:00,392809,384820
2/9/17,01:14.144695+00:00,394141,386151
2/9/17,01:14.178082+00:00,400798,388814
2/9/17,01:14.211468+00:00,402130,388814
2/9/17,01:14.244854+00:00,402130,390146
2/9/17,01:14.278241+00:00,403462,390146
2/9/17,01:14.311627+00:00,402130,391478
2/9/17,01:14.345013+00:00,402130,391478
2/9/17,01:14.378400+00:00,403462,392809
2/9/17,01:14.411786+00:00,404793,394141
2/9/17,01:14.445172+00:00,402130,392809
2/9/17,01:14.478559+00:00,400798,391478
2/9/17,01:14.511945+00:00,400798,392809
2/9/17,01:14.545331+00:00,399467,392809
2/9/17,01:14.578718+00:00,399467,391478
2/9/17,01:14.612104+00:00,399467,388814
2/9/17,01:14.645490+00:00,398135,388814
2/9/17,01:14.678877+00:00,398135,387483
2/9/17,01:14.712263+00:00,398135,387483
2/9/17,01:14.745649+00:00,398135,387483
2/9/17,01:14.779036+00:00,398135,386151
2/9/17,01:14.812422+00:00,398135,384820
2/9/17,01:14.845808+00:00,399467,384820
2/9/17,01:14.879195+00:00,406125,386151
2/9/17,01:14.912581+00:00,406125,386151
2/9/17,01:14.945967+00:00,408788,386151
2/9/17,01:14.979354+00:00,410119,386151
2/9/17,01:15.012740+00:00,411451,384820
2/9/17,01:15.046126+00:00,411451,384820
2/9/17,01:15.079513+00:00,410119,383488
2/9/17,01:15.112899+00:00,410119,383488
2/9/17,01:15.146285+00:00,410119,382157
2/9/17,01:15.179672+00:00,410119,382157
2/9/17,01:15.213058+00:00,410119,382157
2/9/17,01:15.246444+00:00,408788,382157
2/9/17,01:15.279831+00:00,408788,382157
2/9/17,01:15.313217+00:00,408788,382157
2/9/17,01:15.346603+00:00,408788,382157
2/9/17,01:15.379990+00:00,410119,382157
2/9/17,01:15.413376+00:00,408788,382157
2/9/17,01:15.446762+00:00,410119,383488
2/9/17,01:15.480149+00:00,410119,383488
2/9/17,01:15.513535+00:00,410119,383488
2/9/17,01:15.546921+00:00,410119,383488
2/9/17,01:15.580308+00:00,410119,383488
2/9/17,01:15.613694+00:00,410119,383488
2/9/17,01:15.647080+00:00,410119,383488
2/9/17,01:15.680467+00:00,410119,383488
2/9/17,01:15.713853+00:00,410119,383488
2/9/17,01:15.747239+00:00,410119,383488
2/9/17,01:15.780626+00:00,410119,382157
2/9/17,01:15.814012+00:00,404793,380825
2/9/17,01:15.847398+00:00,403462,380825
2/9/17,01:15.880785+00:00,404793,380825
2/9/17,01:15.914171+00:00,403462,380825
2/9/17,01:15.947557+00:00,402130,379494
2/9/17,01:15.980944+00:00,399467,378162
2/9/17,01:16.014330+00:00,399467,378162
2/9/17,01:16.047716+00:00,396804,375499
2/9/17,01:16.081103+00:00,395472,375499
2/9/17,01:16.114489+00:00,400798,376830
2/9/17,01:16.147875+00:00,399467,376830
2/9/17,01:16.181262+00:00,399467,375499
2/9/17,01:16.214648+00:00,399467,375499
2/9/17,01:16.248034+00:00,398135,375499
2/9/17,01:16.281421+00:00,398135,375499
2/9/17,01:16.314807+00:00,391478,374167
2/9/17,01:16.348193+00:00,390146,374167
2/9/17,01:16.381580+00:00,391478,374167
